time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-05 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,289.49,238,0.0
2022-05-12 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2022-05-12 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,162.191,405,0.0
2022-05-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2022-05-23 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,162.74,405,0.0
2022-07-07 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-07 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,154.555,425,0.0
2022-07-15 10:00:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2022-07-15 10:00:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,155.67,423,0.0
2022-09-13 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-13 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,138.02,474,0.0
2022-09-20 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-20 09:30:00-04:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,132.145,484,0.0
2022-10-13 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2022-10-13 09:30:00-04:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,109.71,579,0.0
2022-11-07 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2022-11-07 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,142.28,511,0.0
2022-11-17 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2022-11-17 09:30:00-05:00,StockMachineLearningLstm,NVDA,buy,market,fill,1,gtc,0.0,1,stock,157.15,468,0.0
2022-11-25 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,new,1,gtc,0.0,1,stock,,,
2022-11-25 09:30:00-05:00,StockMachineLearningLstm,NVDA,sell,market,fill,1,gtc,0.0,1,stock,163.18,460,0.0
